Variation,config,classifier,method,max_calls,N,N correct,N incorrect,Accuracy (%),Mean conf (all),Mean conf (correct),Mean conf (incorrect),Mean diff (conf),Welch t (conf),p (conf),Cohen's d (conf),N gap correct,N gap incorrect,Mean gap (all),Mean gap (correct),Mean gap (incorrect),Mean diff (gap),Welch t (gap),p (gap),Cohen's d (gap),Corr r,AUC (conf),AUC (gap),Brier,ECE,Sig conf (uncorrected),Sig conf (Bonferroni),Sig conf (BH-FDR),"p adj (conf, BH)",Sig gap (uncorrected),Sig gap (Bonferroni),Sig gap (BH-FDR),"p adj (gap, BH)"
BART (names only),Names only,bart,,,637,260,377,40.816326530612244,0.4621258942027294,0.5316855300504427,0.414153731549134,0.11753179850130874,8.926910192984279,4.963234181602483e-18,0.7511890030621661,260,377,0.24513704866562008,0.3153780769230769,0.1966949602122016,0.11868311671087531,6.679028319926552,3.750102718169349e-11,0.5741100035522768,0.3468319961732731,0.6967863701285452,0.6395021424199143,0.21543472013946433,0.05549080403202931,True,True,True,2.1838230399050924e-17,True,True,True,3.928679038082175e-11
BART (names + opt-out),Names + opt-out,bart,,,600,251,349,41.833333333333336,0.4408832175532977,0.5086098246246695,0.3921743969948039,0.11643542762986564,8.799532831389413,1.4818594470969696e-17,0.7593572912340916,251,349,0.2278785,0.29522709163346617,0.17944154727793696,0.11578554435552921,6.669125977964521,4.152518079165515e-11,0.5860437961310739,0.3512923505503915,0.7002591353782578,0.6438772132101964,0.21390634094284983,0.027709488570690163,True,True,True,5.4334846393555554e-17,True,True,True,4.152518079165515e-11
Ollama (names only),Names only,ollama,classify,,637,481,156,75.51020408163265,0.585384841679485,0.6320095272902252,0.44162539437970266,0.19038413291052253,14.766567543189154,2.4343781583125547e-37,1.299032351754574,481,156,0.3855518053375196,0.44246029106029106,0.21008397435897436,0.2323763167013167,14.355942679538048,2.508633367427574e-36,1.2219627723603366,0.4882695607473407,0.8202329548483395,0.8089650301188763,0.1714287571722338,0.16971719913684152,True,True,True,1.7852106494292067e-36,True,True,True,1.8396644694468875e-35
Ollama (names + opt-out),Names + opt-out,ollama,classify,,622,476,146,76.52733118971061,0.5690074674340176,0.6167226212814114,0.4134429932466242,0.20327962803478722,15.38287815505915,2.1779433092334322e-39,1.3355867011893505,476,146,0.3826784565916399,0.4378474789915966,0.2028123287671233,0.2350351502244733,14.864937545775803,4.2767508846809874e-38,1.2463731619858909,0.4932130448161052,0.8307384597674686,0.8167232646483251,0.1756339788783475,0.19626584446308842,True,True,True,2.3957376401567753e-38,True,True,True,4.704425973149086e-37
Ollama (names + desc.),Names + desc.,ollama,classify,,637,474,163,74.41130298273156,0.5953166554487567,0.6419848604333545,0.4596066605855699,0.18237819984778453,12.933290571443084,5.563459716874613e-31,1.1369614407164488,474,163,0.4153896389324961,0.4779286919831223,0.23352760736196318,0.24440108462115914,13.48161877981315,7.402818543265021e-33,1.1970176435883608,0.4449938652785121,0.7883694442287282,0.7987173513499521,0.1750797695601317,0.14879637437855894,True,True,True,3.059902844281037e-30,True,True,True,4.0715501987957616e-32
Ollama (desc. + opt-out),Desc. + opt-out,ollama,classify,,602,454,148,75.41528239202658,0.5770649138039956,0.6267496806918217,0.42465353429674535,0.20209614639507634,15.298130229056717,3.320565735222445e-40,1.2817981644258358,454,148,0.4086486710963455,0.474740308370044,0.2059081081081081,0.2688322002619359,16.068488818905458,4.729690432901833e-43,1.3532754512035348,0.4838301866183084,0.8212138349803548,0.831081081081081,0.17417519880439386,0.17708791011627012,True,True,True,7.30524461748938e-39,True,True,True,1.0405318952384032e-41
Ollama (names only) [gen mc=1],Names only,ollama,generate,1.0,637,470,167,73.78335949764521,0.9404436110080663,0.9745521778624557,0.8444494408190659,0.13010273704338982,8.581746570816872,1.7601361715294975e-15,1.0926806855051099,470,167,0.8941406593406594,0.9524106382978723,0.7301473053892216,0.22226333290865075,8.642967839490161,1.037696444724168e-15,1.063243907133601,0.4337055567562633,0.8305644031086763,0.8285322971079119,0.20155988338012723,0.2026100160316141,True,True,True,2.765928269546353e-15,True,True,True,1.902443481994308e-15
Ollama (names only) [gen mc=3],Names only,ollama,generate,3.0,637,470,167,73.78335949764521,0.9404436194869356,0.9745521893540295,0.8444494408190659,0.13010274853496362,8.581747305539874,1.760128011774426e-15,1.0926807653395256,470,167,0.8941406593406594,0.9524106382978723,0.7301473053892216,0.22226333290865075,8.642967839490161,1.037696444724168e-15,1.063243907133601,0.43370558248355845,0.8305898840616639,0.8285322971079119,0.20155988338002898,0.20261002451048318,True,True,True,2.765928269546353e-15,True,True,True,1.902443481994308e-15
Ollama (names only) [gen mc=5],Names only,ollama,generate,5.0,637,470,167,73.78335949764521,0.9404436194869356,0.9745521893540295,0.8444494408190659,0.13010274853496362,8.581747305539874,1.760128011774426e-15,1.0926807653395256,470,167,0.8941406593406594,0.9524106382978723,0.7301473053892216,0.22226333290865075,8.642967839490161,1.037696444724168e-15,1.063243907133601,0.43370558248355845,0.8305898840616639,0.8285322971079119,0.20155988338002898,0.20261002451048318,True,True,True,2.765928269546353e-15,True,True,True,1.902443481994308e-15
Ollama (names only) [gen mc=8],Names only,ollama,generate,8.0,637,470,167,73.78335949764521,0.9404436194869356,0.9745521893540295,0.8444494408190659,0.13010274853496362,8.581747305539874,1.760128011774426e-15,1.0926807653395256,470,167,0.8941406593406594,0.9524106382978723,0.7301473053892216,0.22226333290865075,8.642967839490161,1.037696444724168e-15,1.063243907133601,0.43370558248355845,0.8305898840616639,0.8285322971079119,0.20155988338002898,0.20261002451048318,True,True,True,2.765928269546353e-15,True,True,True,1.902443481994308e-15
Ollama (names + opt-out) [gen mc=1],Names + opt-out,ollama,generate,1.0,606,450,156,74.25742574257426,0.944321745288956,0.9773049908809149,0.849177767619843,0.12812722326107195,7.980457803572588,9.870975974836507e-14,1.0748452140285973,450,156,0.9015112211221123,0.957166,0.7409685897435898,0.21619741025641015,8.01014618246133,7.331802843850405e-14,1.0388839404376238,0.4258922688457239,0.8176210826210826,0.8158974358974359,0.20017591857681732,0.20174748786321328,True,True,True,9.870975974836507e-14,True,True,True,8.064983128235445e-14
Ollama (names + opt-out) [gen mc=3],Names + opt-out,ollama,generate,3.0,606,450,156,74.25742574257426,0.9443217516904786,0.9773049995016322,0.849177767619843,0.1281272318817892,7.980458327032282,9.870945166325431e-14,1.0748452753254503,450,156,0.9015112211221123,0.957166,0.7409685897435898,0.21619741025641015,8.01014618246133,7.331802843850405e-14,1.0388839404376238,0.4258922887282751,0.8176210826210826,0.8158974358974359,0.20017591857670528,0.201747494264736,True,True,True,9.870975974836507e-14,True,True,True,8.064983128235445e-14
