Variation,N,Mean conf (correct),Mean conf (incorrect),Welch t (conf),p (conf),Cohen's d (conf),Sig conf (uncorrected),Sig conf (Bonferroni),Sig conf (BH-FDR),Mean gap (correct),Mean gap (incorrect),Welch t (gap),p (gap),Cohen's d (gap),Sig gap (uncorrected),Sig gap (Bonferroni),Sig gap (BH-FDR)
BART (names only),637,0.5316855300504427,0.414153731549134,8.926910192984279,4.963234181602483e-18,0.7511890030621661,True,True,True,0.3153780769230769,0.1966949602122016,6.679028319926552,3.750102718169349e-11,0.5741100035522768,True,True,True
BART (names + opt-out),600,0.5086098246246695,0.3921743969948039,8.799532831389413,1.4818594470969696e-17,0.7593572912340916,True,True,True,0.29522709163346617,0.17944154727793696,6.669125977964521,4.152518079165515e-11,0.5860437961310739,True,True,True
Ollama (names only),637,0.6320095272902252,0.44162539437970266,14.766567543189154,2.4343781583125547e-37,1.299032351754574,True,True,True,0.44246029106029106,0.21008397435897436,14.355942679538048,2.508633367427574e-36,1.2219627723603366,True,True,True
Ollama (names + opt-out),622,0.6167226212814114,0.4134429932466242,15.38287815505915,2.1779433092334322e-39,1.3355867011893505,True,True,True,0.4378474789915966,0.2028123287671233,14.864937545775803,4.2767508846809874e-38,1.2463731619858909,True,True,True
Ollama (names + desc.),637,0.6419848604333545,0.4596066605855699,12.933290571443084,5.563459716874613e-31,1.1369614407164488,True,True,True,0.4779286919831223,0.23352760736196318,13.48161877981315,7.402818543265021e-33,1.1970176435883608,True,True,True
Ollama (desc. + opt-out),602,0.6267496806918217,0.42465353429674535,15.298130229056717,3.320565735222445e-40,1.2817981644258358,True,True,True,0.474740308370044,0.2059081081081081,16.068488818905458,4.729690432901833e-43,1.3532754512035348,True,True,True
Ollama (names only) [gen mc=1],637,0.9745521778624557,0.8444494408190659,8.581746570816872,1.7601361715294975e-15,1.0926806855051099,True,True,True,0.9524106382978723,0.7301473053892216,8.642967839490161,1.037696444724168e-15,1.063243907133601,True,True,True
Ollama (names only) [gen mc=3],637,0.9745521893540295,0.8444494408190659,8.581747305539874,1.760128011774426e-15,1.0926807653395256,True,True,True,0.9524106382978723,0.7301473053892216,8.642967839490161,1.037696444724168e-15,1.063243907133601,True,True,True
Ollama (names only) [gen mc=5],637,0.9745521893540295,0.8444494408190659,8.581747305539874,1.760128011774426e-15,1.0926807653395256,True,True,True,0.9524106382978723,0.7301473053892216,8.642967839490161,1.037696444724168e-15,1.063243907133601,True,True,True
Ollama (names only) [gen mc=8],637,0.9745521893540295,0.8444494408190659,8.581747305539874,1.760128011774426e-15,1.0926807653395256,True,True,True,0.9524106382978723,0.7301473053892216,8.642967839490161,1.037696444724168e-15,1.063243907133601,True,True,True
Ollama (names + opt-out) [gen mc=1],606,0.9773049908809149,0.849177767619843,7.980457803572588,9.870975974836507e-14,1.0748452140285973,True,True,True,0.957166,0.7409685897435898,8.01014618246133,7.331802843850405e-14,1.0388839404376238,True,True,True
Ollama (names + opt-out) [gen mc=3],606,0.9773049995016322,0.849177767619843,7.980458327032282,9.870945166325431e-14,1.0748452753254503,True,True,True,0.957166,0.7409685897435898,8.01014618246133,7.331802843850405e-14,1.0388839404376238,True,True,True
Ollama (names + opt-out) [gen mc=5],606,0.9773049995016322,0.849177767619843,7.980458327032282,9.870945166325431e-14,1.0748452753254503,True,True,True,0.957166,0.7409685897435898,8.01014618246133,7.331802843850405e-14,1.0388839404376238,True,True,True
Ollama (names + opt-out) [gen mc=8],606,0.9773049995016322,0.849177767619843,7.980458327032282,9.870945166325431e-14,1.0748452753254503,True,True,True,0.957166,0.7409685897435898,8.01014618246133,7.331802843850405e-14,1.0388839404376238,True,True,True
Ollama (names + desc.) [gen mc=1],637,0.9553592760173332,0.8312757035211706,8.09974382569888,2.066057103828618e-14,0.9176850319660631,True,True,True,0.9208325431034483,0.7156202312138729,8.084303460650027,2.030285074880019e-14,0.8911419538012968,True,True,True
Ollama (names + desc.) [gen mc=3],637,0.9553590540260234,0.8312757035211706,8.099730067072358,2.0662385521881815e-14,0.9176837504467102,True,True,True,0.9208321120689656,0.7156202312138729,8.084287395473273,2.030494706424435e-14,0.8911404968065828,True,True,True
Ollama (names + desc.) [gen mc=5],637,0.9553590540260234,0.8312757035211706,8.099730067072358,2.0662385521881815e-14,0.9176837504467102,True,True,True,0.9208321120689656,0.7156202312138729,8.084287395473273,2.030494706424435e-14,0.8911404968065828,True,True,True
Ollama (names + desc.) [gen mc=8],637,0.9553590540260234,0.8312757035211706,8.099730067072358,2.0662385521881815e-14,0.9176837504467102,True,True,True,0.9208321120689656,0.7156202312138729,8.084287395473273,2.030494706424435e-14,0.8911404968065828,True,True,True
Ollama (desc. + opt-out) [gen mc=1],602,0.9612445965024484,0.8230607446000882,8.915194589145527,1.2092204508140313e-16,1.0276947292195098,True,True,True,0.932857175925926,0.7025841176470589,8.995197955078796,6.424718869870907e-17,1.019446228271752,True,True,True
Ollama (desc. + opt-out) [gen mc=3],602,0.9612441082483871,0.8230607446000882,8.915164690614425,1.2094611388258455e-16,1.027691859555424,True,True,True,0.9328562499999999,0.7025841176470589,8.995163732942897,6.426198068835289e-17,1.0194430088044344,True,True,True
Ollama (desc. + opt-out) [gen mc=5],602,0.9612441082483871,0.8230607446000882,8.915164690614425,1.2094611388258455e-16,1.027691859555424,True,True,True,0.9328562499999999,0.7025841176470589,8.995163732942897,6.426198068835289e-17,1.0194430088044344,True,True,True
Ollama (desc. + opt-out) [gen mc=8],602,0.9612441082483871,0.8230607446000882,8.915164690614425,1.2094611388258455e-16,1.027691859555424,True,True,True,0.9328562499999999,0.7025841176470589,8.995163732942897,6.426198068835289e-17,1.0194430088044344,True,True,True
